GO.ID	Term	Annotated	Significant	Expected	Rank in Fisher.classic	Fisher.classic	Fisher.weight01	ontology
GO:0004347	glucose-6-phosphate isomerase activity	30	2	0.04	1	0.00061	0.00061	MF
GO:0008285	negative regulation of cell population proliferation	73	2	0.09	4	0.00362	0.0036	BP
GO:0042973	glucan endo-1,3-beta-D-glucosidase activity	279	3	0.34	4	0.00474	0.00474	MF
GO:0001888	glucuronyl-galactosyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase activity	5	1	0.01	5	0.00600	0.006	MF
GO:0004057	arginyltransferase activity	5	1	0.01	6	0.00600	0.006	MF
GO:0004413	homoserine kinase activity	5	1	0.01	7	0.00600	0.006	MF
GO:0010371	regulation of gibberellin biosynthetic process	5	1	0.01	7	0.00606	0.0061	BP
GO:0010400	rhamnogalacturonan I side chain metabolic process	5	1	0.01	8	0.00606	0.0061	BP
GO:0019919	peptidyl-arginine methylation, to asymmetrical-dimethyl arginine	5	1	0.01	9	0.00606	0.0061	BP
GO:0035987	endodermal cell differentiation	5	1	0.01	10	0.00606	0.0061	BP
GO:0010305	leaf vascular tissue pattern formation	99	2	0.12	14	0.00655	0.0066	BP
GO:0004671	protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity	7	1	0.01	8	0.00839	0.00839	MF
GO:0010486	manganese:proton antiporter activity	7	1	0.01	9	0.00839	0.00839	MF
GO:0102419	sn-2-glycerol-3-phosphate omega-OH-C22:0-CoA acyl transferase activity	7	1	0.01	10	0.00839	0.00839	MF
GO:0006481	C-terminal protein methylation	7	1	0.01	17	0.00847	0.0085	BP
GO:0010081	regulation of inflorescence meristem growth	7	1	0.01	18	0.00847	0.0085	BP
GO:0010483	pollen tube reception	8	1	0.01	21	0.00968	0.0097	BP
GO:0035241	protein-arginine omega-N monomethyltransferase activity	10	1	0.01	12	0.01197	0.01197	MF
GO:0005789	endoplasmic reticulum membrane	2134	8	2.57	2	0.0043	0.012	CC
GO:2000038	regulation of stomatal complex development	10	1	0.01	26	0.01208	0.0121	BP
GO:0035242	protein-arginine omega-N asymmetric methyltransferase activity	11	1	0.01	13	0.01316	0.01316	MF
GO:0050265	RNA uridylyltransferase activity	11	1	0.01	14	0.01316	0.01316	MF
GO:0034394	protein localization to cell surface	11	1	0.01	29	0.01328	0.0133	BP
GO:0046951	ketone body biosynthetic process	11	1	0.01	30	0.01328	0.0133	BP
GO:0071076	RNA 3' uridylation	11	1	0.01	31	0.01328	0.0133	BP
GO:0046429	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase activity	12	1	0.01	15	0.01434	0.01434	MF
GO:0070301	cellular response to hydrogen peroxide	12	1	0.01	35	0.01448	0.0145	BP
GO:0008469	histone-arginine N-methyltransferase activity	13	1	0.02	17	0.01553	0.01553	MF
GO:0016726	oxidoreductase activity, acting on CH or CH2 groups, NAD or NADP as acceptor	13	1	0.02	18	0.01553	0.01553	MF
GO:0008289	lipid binding	1831	5	2.2	70	0.07018	0.01667	MF
GO:0106050	tRNA 2'-O-methyltransferase activity	14	1	0.02	19	0.01671	0.01671	MF
GO:0010042	response to manganese ion	14	1	0.02	39	0.01687	0.0169	BP
GO:0010080	regulation of floral meristem growth	14	1	0.02	40	0.01687	0.0169	BP
GO:0004607	phosphatidylcholine-sterol O-acyltransferase activity	15	1	0.02	20	0.01790	0.0179	MF
GO:0102867	molybdenum cofactor sulfurtransferase activity	15	1	0.02	21	0.01790	0.0179	MF
GO:0016598	protein arginylation	17	1	0.02	47	0.02045	0.0204	BP
GO:1904825	protein localization to microtubule plus-end	17	1	0.02	48	0.02045	0.0204	BP
GO:0045454	cell redox homeostasis	183	2	0.22	50	0.02106	0.0211	BP
GO:0008265	Mo-molybdopterin cofactor sulfurase activity	18	1	0.02	22	0.02144	0.02144	MF
GO:0002128	tRNA nucleoside ribose methylation	18	1	0.02	51	0.02164	0.0216	BP
GO:0009652	thigmotropism	18	1	0.02	52	0.02164	0.0216	BP
GO:0010148	transpiration	18	1	0.02	53	0.02164	0.0216	BP
GO:0048487	beta-tubulin binding	19	1	0.02	23	0.02262	0.02262	MF
GO:0102420	sn-1-glycerol-3-phosphate C16:0-DCA-CoA acyl transferase activity	19	1	0.02	24	0.02262	0.02262	MF
GO:0080040	positive regulation of cellular response to phosphate starvation	19	1	0.02	58	0.02283	0.0228	BP
GO:0048281	inflorescence morphogenesis	20	1	0.02	61	0.02402	0.024	BP
GO:0097367	carbohydrate derivative binding	19762	23	23.78	237	0.61413	0.02404	MF
GO:0052658	inositol-1,4,5-trisphosphate 5-phosphatase activity	21	1	0.03	26	0.02497	0.02497	MF
GO:0052659	inositol-1,3,4,5-tetrakisphosphate 5-phosphatase activity	21	1	0.03	27	0.02497	0.02497	MF
GO:0030155	regulation of cell adhesion	21	1	0.03	67	0.02520	0.0252	BP
GO:0052381	tRNA dimethylallyltransferase activity	22	1	0.03	28	0.02614	0.02614	MF
GO:0010375	stomatal complex patterning	22	1	0.03	68	0.02639	0.0264	BP
GO:0010087	phloem or xylem histogenesis	207	2	0.25	69	0.02646	0.0265	BP
GO:0008024	cyclin/CDK positive transcription elongation factor complex	23	1	0.03	7	0.0274	0.027	CC
GO:0010228	vegetative to reproductive phase transition of meristem	601	3	0.73	91	0.03707	0.0273	BP
GO:0004419	hydroxymethylglutaryl-CoA lyase activity	23	1	0.03	31	0.02731	0.02731	MF
GO:0052740	1-acyl-2-lysophosphatidylserine acylhydrolase activity	23	1	0.03	32	0.02731	0.02731	MF
GO:0007023	post-chaperonin tubulin folding pathway	24	1	0.03	74	0.02875	0.0287	BP
GO:0052739	phosphatidylserine 1-acylhydrolase activity	25	1	0.03	35	0.02965	0.02965	MF
